timestamp,value,gesture
1764099465.21074,747.0,up_down
1764019556.421316,556.0,round
1764019482.374666,461.0,round
1764019550.3180163,179.0,round
1764099128.3608155,548.0,round
1764019488.350061,43.0,round
1764099415.6929023,556.0,shoot
1764019524.3616245,677.0,round
1764019557.8251152,626.0,round
1764099488.128944,533.0,up_down
1764020153.6505454,448.0,up_down
1764099464.720801,74.0,up_down
1764099501.3867598,223.0,up_down
1764099408.3839035,232.0,shoot
1764020128.678097,685.0,up_down
1764099508.0525076,522.0,up_down
1764099391.3075428,443.0,shoot
1764020119.9840646,475.0,up_down
1764099372.948388,618.0,shoot
1764099464.8978186,0.0,up_down
1764020096.3267288,804.0,up_down
1764020135.1423483,502.0,up_down
1764099467.0450509,629.0,up_down
1764099115.1658742,682.0,round
1764099370.8835092,613.0,shoot
1764020195.7436726,579.0,shoot
1764020096.1092305,630.0,up_down
1764020240.121525,388.0,shoot
1764019528.5057812,307.0,round
1764099135.4623868,602.0,round
1764099368.3956242,504.0,shoot
1764020225.538202,663.0,shoot
1764019516.8071413,139.0,round
1764020209.2375631,502.0,shoot
1764099108.944095,624.0,round
1764099389.6811612,501.0,shoot
1764020216.000448,465.0,shoot
1764099365.5802798,791.0,shoot
1764020129.5236073,713.0,up_down
1764020137.390195,529.0,up_down
1764019510.0228565,470.0,round
1764020114.1994865,820.0,up_down
1764020151.7923987,361.0,up_down
1764019508.336787,352.0,round
1764019554.3784518,967.0,round
1764019535.6940494,1020.0,round
1764020240.795077,711.0,shoot
1764099367.9947598,297.0,shoot
1764099464.2194264,437.0,up_down
1764019512.959833,229.0,round
1764099488.2129743,0.0,up_down
1764019513.4414804,696.0,round
1764099394.6679332,538.0,shoot
1764020112.74491,485.0,up_down
1764099517.7159402,590.0,up_down
1764019474.7307203,84.0,round
1764019521.0664678,387.0,round
1764020141.6153972,486.0,up_down
1764019517.0461924,1023.0,round
1764099417.0709095,255.0,shoot
1764020154.3244946,461.0,up_down
1764019473.982962,1023.0,round
1764020137.931048,577.0,up_down
1764099124.3760848,452.0,round
1764019533.207131,744.0,round
1764099356.8765707,483.0,shoot
1764020102.868356,552.0,up_down
1764020247.9422958,625.0,shoot
1764099469.4711232,660.0,up_down
1764020097.4196532,639.0,up_down
1764099409.470028,330.0,shoot
1764020223.990487,685.0,shoot
1764020136.3850355,767.0,up_down
1764099477.151945,529.0,up_down
1764099112.6951015,646.0,round
1764020236.1665063,745.0,shoot
1764099501.377687,205.0,up_down
1764020138.1672862,415.0,up_down
1764020096.1291254,606.0,up_down
1764099404.7200148,346.0,shoot
1764099378.921023,845.0,shoot
1764099136.115228,521.0,round
1764099512.022159,320.0,up_down
1764019481.9696488,1023.0,round
1764099404.1498792,672.0,shoot
1764020112.992393,458.0,up_down
1764099474.903927,987.0,up_down
1764019478.7855818,455.0,round
1764099124.7226486,457.0,round
1764020228.9954045,470.0,shoot
1764020138.8895636,530.0,up_down
1764020236.8781726,801.0,shoot
1764019473.6149564,152.0,round
1764019498.277226,532.0,round
1764019525.6342068,314.0,round
1764019525.2643187,936.0,round
1764099132.2687285,571.0,round
1764099404.6927984,339.0,shoot
1764019535.8463757,917.0,round
1764020095.4831986,706.0,up_down
1764020150.475469,549.0,up_down
1764019539.417964,549.0,round
1764099512.988562,0.0,up_down
1764020236.023049,693.0,shoot
1764099383.0428774,651.0,shoot
1764019547.412873,365.0,round
1764019530.0645664,427.0,round
1764019518.0812974,1023.0,round
1764099120.8681943,476.0,round
1764020147.61878,425.0,up_down
1764020212.5874395,676.0,shoot
1764020096.7606654,580.0,up_down
1764020118.79266,473.0,up_down
1764019480.8414528,751.0,round
1764019548.80961,447.0,round
1764099504.0895934,1001.0,up_down
1764099481.8521583,957.0,up_down
1764020106.4112213,724.0,up_down
1764099145.4541984,558.0,round
1764099144.915129,519.0,round
1764019533.9197838,185.0,round
1764020155.3787942,574.0,up_down
1764099103.1389284,656.0,round
1764020225.0165582,248.0,shoot
1764019554.0879917,335.0,round
1764099489.07913,882.0,up_down
1764019485.6006672,1023.0,round
1764020119.890458,454.0,up_down
1764020230.9786985,654.0,shoot
1764099142.657163,626.0,round
1764099129.3920977,331.0,round
1764099126.7246375,639.0,round
1764019541.273852,330.0,round
1764020146.529061,645.0,up_down
1764019493.391188,629.0,round
1764020139.874055,528.0,up_down
1764099363.70247,755.0,shoot
1764099480.3808062,1006.0,up_down
1764020204.0599704,901.0,shoot
1764020114.059121,726.0,up_down
1764099116.0539875,589.0,round
1764099410.5153277,115.0,shoot
1764099408.486763,350.0,shoot
1764099487.3885612,1023.0,up_down
1764099463.3420212,522.0,up_down
1764020108.364381,741.0,up_down
1764099509.3332348,924.0,up_down
1764020102.1466975,492.0,up_down
1764020139.7046163,649.0,up_down
1764020223.2530675,695.0,shoot
1764020117.5234606,636.0,up_down
1764099134.721553,615.0,round
1764099357.4972205,482.0,shoot
1764019494.4217098,737.0,round
1764099383.9182456,515.0,shoot
1764020129.7655473,623.0,up_down
1764099378.9619124,828.0,shoot
1764099356.4734817,630.0,shoot
1764019528.3753564,1.0,round
1764099416.517871,693.0,shoot
1764020098.1015663,619.0,up_down
1764099414.750907,560.0,shoot
1764099476.327078,1023.0,up_down
1764019538.5165434,273.0,round
1764020243.658463,162.0,shoot
1764020154.1236684,554.0,up_down
1764020144.6467378,490.0,up_down
1764020210.431063,846.0,shoot
1764099503.867539,1023.0,up_down
1764099139.9475489,355.0,round
1764099385.01995,526.0,shoot
1764099150.7395952,633.0,round
1764019536.317041,189.0,round
1764020116.852395,508.0,up_down
1764020244.2858734,484.0,shoot
1764099375.6812344,471.0,shoot
1764020101.8137932,582.0,up_down
1764099401.5636342,44.0,shoot
1764099477.715171,0.0,up_down
1764019496.4725788,432.0,round
1764099117.9869945,44.0,round
1764099138.9234295,221.0,round
1764099468.3937008,1023.0,up_down
1764019492.9152093,988.0,round
1764099492.5735452,475.0,up_down
1764019529.3072052,1023.0,round
1764019531.492214,428.0,round
1764099468.4886994,1023.0,up_down
1764020242.1391077,585.0,shoot
1764019496.8582046,274.0,round
1764019475.7961774,622.0,round
1764099502.5620315,328.0,up_down
1764020132.386838,532.0,up_down
1764099367.1585343,310.0,shoot
1764020212.2980404,410.0,shoot
1764019525.6544976,302.0,round
1764019478.9531543,552.0,round
1764019531.4408195,770.0,round
1764099510.3782673,83.0,up_down
1764019545.982758,923.0,round
1764020220.2417345,655.0,shoot
1764020208.8447158,785.0,shoot
1764019538.5559702,0.0,round
1764020139.347577,671.0,up_down
1764099144.0491216,639.0,round
1764020198.9051287,0.0,shoot
1764020245.242795,582.0,shoot
1764019509.384165,799.0,round
1764099512.1466196,268.0,up_down
1764020151.919328,496.0,up_down
1764019537.0754962,539.0,round
1764020226.2332146,703.0,shoot
1764019482.6952734,413.0,round
1764019553.6564472,883.0,round
1764020215.6080348,0.0,shoot
1764019480.3935127,766.0,round
1764099121.0394204,417.0,round
1764020122.577425,322.0,up_down
1764099487.2546546,772.0,up_down
1764020122.4613924,275.0,up_down
1764020248.2931647,604.0,shoot
1764020128.9291575,430.0,up_down
1764099110.0854075,241.0,round
1764020220.11235,426.0,shoot
1764019499.984151,1023.0,round
1764020234.3933394,633.0,shoot
1764099364.4855886,657.0,shoot
1764020228.20675,236.0,shoot
1764019544.8196032,1023.0,round
1764099474.773887,1023.0,up_down
1764099416.439939,725.0,shoot
1764099127.4492009,673.0,round
1764019471.5932226,502.0,round
1764099383.2698982,668.0,shoot
1764020241.6451902,411.0,shoot
1764099487.2157166,689.0,up_down
1764099110.0604093,411.0,round
1764099512.1989052,281.0,up_down
1764099362.595554,783.0,shoot
